Customer ID 	 Full Name	E-mail	Phone Number	Country 	City	Join Date	Last Purchase	Age 	Spend (USD)	Subscribed?	Segment	Source File	Notes	
CUST-1001	LIAM BROWN	LIAM.BROWN@EXAMPLE.ORG	443389083863	uk	Liverpool	05/17/2022	08/09/2022	29	N/A	Yes	Priority	web_form.xlsx	called twice	
CUST-1002	Mary Turner	MARY.TURNER@YAHOO.COM	+1 341 316 4752	America	Atlanta	Jun 11, 2021	Mar 20, 2022	unknown	7052.5	Active	enterprise	web_form.xlsx	left voicemail	
CUST-1003	Mary Thomas	mary_thomas@yahoo.com	7242388496	CA	MONTREAL	2023-04-02	17/08/2023	25	1805.19	No	Corp	legacy_contacts.csv	requested invoice	
CUST-1004	Robert Campbell	robertcampbell15@outlook.com	07048 281489	 united kingdom 	Edinburgh	Oct 29, 2025			5787.2	TRUE	vip	crm_export_a.csv	duplicate from legacy file	
cust 1005	William Taylor	william_taylor@yahoo.com	08346578713	 united kingdom 	glasgow	2025-07-30	2025-09-03	55	6513.11	Yes	Small Business	web_form.xlsx	wants weekend calls	
CUST-1006	David Baker	david_baker@company.co.uk	440106513338	UK	Cardiff	Mar 26, 2024	Nov 23, 2024	36	6672.5	N	retail	legacy_contacts.csv	called twice	
CUST-1007	David Green	 david_green@example.org 	4309 805 00	Australia	Melbourne	2023-02-16	2023-02-17	45	USD 2265.25	No	Small Business	march_upload.csv	missing postcode	
CUST-1008	Isla Taylor	itaylor@outlook.com	04751-079911	UK	Cardiff	03/03/2024	25-Nov-2024	41	7945.98	Active	Enterprise	march_upload.csv	follow up in Q2	
CUST-1009	Grace Brown	gracebrown27@outlook.com	4016 400 52	AUS	Melbourne	2022-06-26	24/08/2022	27	6314.41	Y	consumer	crm_export_b.csv		
CUST-1010	Mr Olivia Jones	ojones@example.org	322602563	AUS	melbourne	28-Oct-2024	04/03/2025	63	887.2	FALSE	VIP	web_form.xlsx	missing postcode	
CUST-1011	Noah Green	noah_green@gmail.com	 5698169340 	America	Dallas	10/11/2022	2024-03-04	22	993.67	Inactive	Retail	web_form.xlsx	duplicate from legacy file	
CUST-1012	Grace Hall	gracehall73@example.org	440443699577	Gb	LIVERPOOL	2024-02-10	Apr 15, 2024	33	3582.49	Inactive	smb	crm_export_b.csv	VIP prospect	
CUST-1013	Michael Smith	 msmith@company.co.uk 	00163287083	 united kingdom 	Glasgow	05-Jun-2024	Aug 14, 2025	25	3879.21	N	Small business	legacy_contacts.csv	missing postcode	
CUST-1014	Mr Laura Roberts	 laura.roberts@outlook.com 	+1-362-316-6587	CA	Ottawa	09/20/2023	05-Aug-2024	36	2344.96	Active	retail	legacy_contacts.csv	"duplicate from legacy file
check manually"	
CUST-1015	Sophia Adams	sophia_adams@example.org	00162 720465	U.K.	Bristol	01-Oct-2024	2025-09-13	46		FALSE	vip	crm_export_a.csv	left voicemail	
CUST-1016	Ms Liam Jones	liam_jones@example.org	+1-529-912-4190	Canada	Vancouver	13/02/2022	04/18/2023	22	$5,287.03	yes	SMB	web_form.xlsx	called twice	
CUST-1017	Grace Wright	gwright@yahoo.com	04987769453	 united kingdom 	Bristol	26-Jan-2021	05-Apr-2022	47	6,992	TRUE	Priority	web_form.xlsx		
CUST-1018	Ethan Roberts	ETHAN.ROBERTS@COMPANY.CO.UK	3634957885	U.S.	 Dallas 	27/01/2022	11/03/2022	36	6124.83	Active	enterprise	crm_export_b.csv	check manually	
CUST-1019	MIA ROBERTS		0842710947	United States	DALLAS	2024-05-07	2024-09-28	27	$7,079.85	yes	 RETAIL 	crm_export_a.csv	duplicate from legacy file	
CUST-1020	Anna Baker	anna_baker@outlook.com	909.133.4123	CA	ottawa	05/05/2024	06/13/2025	60	1929.96	TRUE	Small Business	legacy_contacts.csv	  	
CUST-1021	LAURA WILSON	laura_wilson@company.co.uk	648877190	AU	Melbourne	May 27, 2021	2021-06-26	31	(6740.45)	Yes	enterprise	legacy_contacts.csv	duplicate from legacy file	
CUST-1022	Robert Roberts	robertroberts21@gmail.com	07468071545	UK	Cardiff	Jun 12, 2023	2024-05-02	52	8237.43	Active	consumer	crm_export_a.csv	"requested invoice
check manually"	
CUST-1023	Ava Wilson	ava.wilson@yahoo.com	1317 127 48	AU	Perth	09/12/2025	N/A	52	1045.3	No	smb	legacy_contacts.csv	follow up in Q2	
CUST-1024	Noah Roberts	noahroberts62@example.org	867.533.9636	CA	Montreal	26/01/2025	2025-06-27	58	4935.65	Yes	Corp	crm_export_a.csv		
CUST-1025	ROBERT SMITH	robert.smith@company.co.uk	865-780-9134	America	Atlanta	2025-11-19	N/A	121		FALSE	Retail	web_form.xlsx	left voicemail	
CUST-1026	Sophia Wilson	swilson@yahoocom	+44 4740 748217	Gb	sheffield	03/05/2024	17-Feb-2025		1457.31	TRUE	ENT	web_form.xlsx		
CUST-1027	Grace  Green	gracegreen78@yahoocom	+44 3942 104709	Gb	Cardiff	07/11/2025	N/A	24	7741.58	no	ENT	crm_export_b.csv	duplicate from legacy file	
CUST-1028	Mia Johnson	mia.johnson@example.org	048.175.4965	canada 	Montreal	06/07/2025	02-Sep-2025	50	8185.15	Y	VIP	crm_export_a.csv	missing postcode	
CUST-1029	Mia Brown	mbrown@company.co.uk	01796 405377	 united kingdom 	Edinburgh	2024-13-05	21/04/2022	50	3163.03	No	Small Business	march_upload.csv	wants weekend calls	
CUST-1030	  Mary Walker 	mwalker@yahoo.com	 09042 284210 	U.K.	BIRMINGHAM	not sure		34	597.16	0	consumer	web_form.xlsx	follow up in Q2	
CUST-1031	Anna  Turner	anna_turner@company.co.uk	+1 771 159 2124	 united states 	Phoenix	2021-03-30	2022-04-06	63	4439.51	Active	vip	legacy_contacts.csv	prefers email	
